emplid,div,deptid,sub_job_family,date,attendance,project_code,total_hour,pmcs_bu_start_dt,project_start_stage,C0_day,C1_day,C2_day,C3_day,C4_day,C5_day,C6_day,stage,termination_n,month_pf,execute_day,utilization_rate_by_dep_func,utilization_rate_by_dep,execute_hour,execute_month,utilization_rate_by_div_func
10006020,230000,230350,RH,2020/1/1,120,,0,Microsoft.DPrep.ErrorValues.PythonNumpyDatetimeParseFailure,,,,,,,,,,0,30,3000335.788,0,0,421.5345709,100498.3929,0.112019231
10006020,230000,230350,RH,2020/2/1,152,,0,Microsoft.DPrep.ErrorValues.PythonNumpyDatetimeParseFailure,,,,,,,,,,0,31,3001079.788,0,0,421.5345709,100498.3929,0.095167004
10006020,230000,230350,RH,2020/3/1,184,,0,Microsoft.DPrep.ErrorValues.PythonNumpyDatetimeParseFailure,,,,,,,,,,0,32,3001775.788,0,0,421.5345709,100498.3929,0.095592524
10006020,230000,230350,RH,2020/4/1,152,,0,Microsoft.DPrep.ErrorValues.PythonNumpyDatetimeParseFailure,,,,,,,,,,0,33,3002519.788,0,0,421.5345709,100498.3929,0.095021118
10006020,23D000,23D500,RH,2020/6/1,184,1PD042550001,0.5,2018/1/23 08:00,C1,0,128,216,83,96,1827,92,C5,0,28,20656,1.129813665,1.129813665,88515.90573,1054.133333,0.488365539
10006020,23D000,23D500,RH,2020/6/1,184,1PD05K550001,15.1,2019/9/12 08:00,C0,55,239,81,45,63,2527,92,C2,0,12,7648,1.129813665,1.129813665,12658.85222,620.5333333,0.488365539
10006020,23D000,23D500,RH,2020/6/1,184,1PD05P550001,122.7,2019/9/30 08:00,C0,35,14,149,26,70,1568,91,C4,0,7,6736,1.129813665,1.129813665,30093.92707,590.1333333,0.488365539
10006020,23D000,23D500,RH,2020/6/1,184,1PD05R550001,45.7,2019/12/16 08:00,C0,16,15,60,76,108,1795,92,C4,0,5,4432,1.129813665,1.129813665,55053.70899,513.3333333,0.488365539
10006020,23D000,23D500,RH,2020/6/1,184,1RDZ25100001,0.2,2018/12/25 16:54,C6,0,0,0,0,0,0,91,,0,18,3003983.788,1.129813665,1.129813665,21162.4,100351.1929,0.488365539
10006020,23D000,23D500,RH,2020/7/1,160,1PD039550001,4,2018/1/12 08:00,C0,32,17,112,119,105,1855,91,C5,0,30,22408,1.157946429,1.157946429,45621.2067,1088.533333,0.525131579
10006020,23D000,23D500,RH,2020/7/1,160,1PD05K550001,25.1,2019/9/12 08:00,C0,55,239,81,45,63,2527,92,C2,0,13,8368,1.157946429,1.157946429,12658.85222,620.5333333,0.525131579
10006020,23D000,23D500,RH,2020/8/1,200,1PD05P550001,97,2019/9/30 08:00,C0,35,14,149,26,70,1568,91,C5,0,9,8200,1.074214286,1.074214286,30093.92707,590.1333333,0.424070833
10006020,23D000,23D500,RH,2020/8/1,200,1PD05R550001,39,2019/12/16 08:00,C0,16,15,60,76,108,1795,92,C4,0,7,5896,1.074214286,1.074214286,55053.70899,513.3333333,0.424070833
10006020,23D000,23D500,RH,2020/9/1,144,1PD038550001,9.1,2018/2/1 08:00,C0,17,28,116,86,72,1492,90,C5,0,33,23056,0.996130952,0.996130952,51227.84787,1060.533333,0.492663323
10006020,23D000,23D500,RH,2020/9/1,144,1PD039550001,8.5,2018/1/12 08:00,C0,32,17,112,119,105,1855,91,C5,0,32,23896,0.996130952,0.996130952,45621.2067,1088.533333,0.492663323
10006020,23D000,23D500,RH,2020/9/1,144,1PD042550001,10.6,2018/1/23 08:00,C1,0,128,216,83,96,1827,92,C5,0,31,22864,0.996130952,0.996130952,88515.90573,1054.133333,0.492663323
10006020,23D000,23D500,RH,2020/9/1,144,1PD05K550001,17.9,2019/9/12 08:00,C0,55,239,81,45,63,2527,92,C3,0,15,9856,0.996130952,0.996130952,12658.85222,620.5333333,0.492663323
10006020,23D000,23D500,RH,2020/9/1,144,1PD05P550001,50.5,2019/9/30 08:00,C0,35,14,149,26,70,1568,91,C5,0,10,8944,0.996130952,0.996130952,30093.92707,590.1333333,0.492663323
10006020,23D000,23D500,RH,2020/10/1,152,1RDZ25100001,1,2018/12/25 16:54,C6,0,0,0,0,0,0,91,,0,22,3006911.788,0.908176692,0.908176692,21162.4,100351.1929,0.521585526
10006020,23D000,23D500,RH,2020/10/1,152,QRQY00001129,3,2020/8/11 08:00,C6,0,0,0,0,0,0,91,,0,3,3006911.788,0.908176692,0.908176692,34469.81947,100498.3929,0.521585526
10006020,23D000,23D500,RH,2020/11/1,200,1PD038550001,2.1,2018/2/1 08:00,C0,17,28,116,86,72,1492,90,C5,0,35,24520,0.882214286,0.882214286,51227.84787,1060.533333,0.430845
10006020,23D000,23D500,RH,2020/11/1,200,1PD039550001,5,2018/1/12 08:00,C0,32,17,112,119,105,1855,91,C5,0,34,25360,0.882214286,0.882214286,45621.2067,1088.533333,0.430845
10006020,23D000,23D500,RH,2020/11/1,200,1PD042550001,1.5,2018/1/23 08:00,C1,0,128,216,83,96,1827,92,C5,0,33,24328,0.882214286,0.882214286,88515.90573,1054.133333,0.430845
10006020,23D000,23D500,RH,2020/11/1,200,1PD05K550001,13.5,2019/9/12 08:00,C0,55,239,81,45,63,2527,92,C4,0,17,11320,0.882214286,0.882214286,12658.85222,620.5333333,0.430845
10006020,23D000,23D500,RH,2020/12/1,152,QRQY00001129,28.2,2020/8/11 08:00,C6,0,0,0,0,0,0,91,,0,5,3008375.788,0.805451128,0.805451128,34469.81947,100498.3929,0.414330664
10006020,23D000,23D500,RH,2021/1/1,160,1PD038550001,41,2018/2/1 08:00,C0,17,28,116,86,72,1492,90,C5,0,37,25984,0.859017857,0.859017857,51227.84787,1060.533333,0.458823864
10006020,23D000,23D500,RH,2021/1/1,160,1PD039550001,1,2018/1/12 08:00,C0,32,17,112,119,105,1855,91,C5,0,36,26824,0.859017857,0.859017857,45621.2067,1088.533333,0.458823864
10006020,23D000,23D500,RH,2021/1/1,160,1PD05P550001,30.5,2019/9/30 08:00,C0,35,14,149,26,70,1568,91,C5,0,14,11872,0.859017857,0.859017857,30093.92707,590.1333333,0.458823864
10006020,23D000,23D500,RH,2021/1/1,160,1PD05R550001,34.1,2019/12/16 08:00,C0,16,15,60,76,108,1795,92,C5,0,12,9568,0.859017857,0.859017857,55053.70899,513.3333333,0.458823864
10006020,23D000,23D500,RH,2021/1/1,160,QRQY00001129,54.9,2020/8/11 08:00,C6,0,0,0,0,0,0,91,,0,6,3009119.788,0.859017857,0.859017857,34469.81947,100498.3929,0.458823864
10006020,23D000,23D500,OP,2021/4/1,144,1PD042550001,6.1,2018/1/23 08:00,C1,0,128,216,83,96,1827,92,C5,0,3,27952,0.997569444,1.009821429,88515.90573,1054.133333,0.199513889
10006020,23D000,23D500,OP,2021/4/1,144,1PD05R550001,34.2,2019/12/16 08:00,C0,16,15,60,76,108,1795,92,C5,0,3,11728,0.997569444,1.009821429,55053.70899,513.3333333,0.199513889
10006020,23D000,23D500,OP,2021/4/1,144,1PD062550001,85,2021/2/17 08:00,C0,19,9,63,91,138,3334,90,C2,0,1,1504,0.997569444,1.009821429,13385.83153,172.5333333,0.199513889
10006020,23D000,23D500,OP,2021/4/1,144,QRQY00001129,21.9,2020/8/11 08:00,C6,0,0,0,0,0,0,91,,0,3,3011279.788,0.997569444,1.009821429,34469.81947,100498.3929,0.199513889
10006020,23D000,23D500,OP,2021/5/1,200,1PD046550001,15,2018/4/26 08:00,C0,49,141,98,84,21,3,91,,0,1,27616,0.91875,0.999142857,5782.814678,1018.933333,0.153125
10006020,23D000,23D500,OP,2021/5/1,200,1PD05P550001,40.8,2019/9/30 08:00,C0,35,14,149,26,70,1568,91,C5,0,4,14752,0.91875,0.999142857,30093.92707,590.1333333,0.153125
10006020,23D000,23D500,OP,2021/5/1,200,1PD05R550001,12,2019/12/16 08:00,C0,16,15,60,76,108,1795,92,C5,0,4,12448,0.91875,0.999142857,55053.70899,513.3333333,0.153125
10006020,23D000,23D500,OP,2021/6/1,152,1PD062550001,44.5,2021/2/17 08:00,C0,19,9,63,91,138,3334,90,C3,0,3,2968,0.505482456,0.690049342,13385.83153,172.5333333,0.116649798
10006020,23D000,23D500,OP,2021/6/1,152,1PD064550001,6,2021/2/19 08:00,C0,25,10,74,98,102,3622,92,C3,0,2,3064,0.505482456,0.690049342,4479.367616,175.7333333,0.116649798
10007025,230000,230R30,ME,2017/8/1,160,1PD010270001,15.3,2015/2/28 08:00,C0,59,23,53,108,91,1827,91,C5,0,1,22672,1.032946429,1.032946429,1486.8,1681.333333,0.1446125
10007025,230000,230R30,ME,2017/8/1,160,1PD01R550001,2.4,2015/10/14 08:00,C0,44,128,126,94,57,1946,92,C5,0,1,16840,1.032946429,1.032946429,9986.133059,1754.933333,0.1446125
10007025,230000,230R30,ME,2017/8/1,160,1PD025550001,25.8,2016/4/30 08:00,C0,88,31,60,154,90,1826,92,C5,0,1,13120,1.032946429,1.032946429,31631.33306,1630.933333,0.1446125
10007025,230000,230R30,ME,2017/8/1,160,1PD027220001,3,2016/4/30 08:00,C0,21,61,92,61,45,1841,90,C5,0,1,11512,1.032946429,1.032946429,9071.4,1577.333333,0.1446125
10007025,230000,230R30,ME,2017/8/1,160,91.13Y55.001,12.5,2009/3/31 08:00,C0,36,122,91,68,51,1842,92,,0,1,73960,1.032946429,1.032946429,91.9,3122.933333,0.1446125
10007025,230000,230R30,ME,2017/9/1,160,1PD027220001,4.7,2016/4/30 08:00,C0,21,61,92,61,45,1841,90,C5,0,2,12256,1.065,1.065,9071.4,1577.333333,0.146176471
10007025,230000,230R30,ME,2017/9/1,160,91.13Y55.001,12.1,2009/3/31 08:00,C0,36,122,91,68,51,1842,92,,0,2,74704,1.065,1.065,91.9,3122.933333,0.146176471
10007025,230000,230R30,ME,2017/9/1,160,91.14R55.001,2,2010/9/30 08:00,C0,121,92,113,25,23,1116,92,,0,2,63592,1.065,1.065,8.2,2143.733333,0.146176471
10007025,230000,230R30,ME,2017/9/1,160,91.16M55.001,10.6,2012/2/29 08:00,C0,29,31,61,153,45,2207,90,C5,0,2,48976,1.065,1.065,961.7,2484.533333,0.146176471
10007025,230000,230R30,ME,2017/9/1,160,91.18H55.001,124.2,2008/5/30 08:00,C0,95,154,151,106,59,2848,92,C6,0,2,83440,1.065,1.065,1957.1,3291.733333,0.146176471
10007025,230000,230R30,ME,2017/9/1,160,91.18R55.001,4.4,2013/4/5 08:00,C0,3,15,62,95,129,1768,90,C5,0,2,38728,1.065,1.065,4736.581998,2459.733333,0.146176471
10007025,230000,230R30,ME,2017/10/1,176,1PD010270001,10,2015/2/28 08:00,C0,59,23,53,108,91,1827,91,C5,0,3,24136,0.896022727,0.896022727,1486.8,1681.333333,0.139381313
10007025,230000,230R30,ME,2017/11/1,160,91.13Y55.001,2,2009/3/31 08:00,C0,36,122,91,68,51,1842,92,,0,4,76168,0.9071875,0.9071875,91.9,3122.933333,0.136933962
10007025,230000,230R30,ME,2017/11/1,160,91.16M55.001,5,2012/2/29 08:00,C0,29,31,61,153,45,2207,90,C5,0,4,50440,0.9071875,0.9071875,961.7,2484.533333,0.136933962
10007025,230000,230R30,ME,2017/11/1,160,91.18H55.001,139,2008/5/30 08:00,C0,95,154,151,106,59,2848,92,,0,4,84904,0.9071875,0.9071875,1957.1,3291.733333,0.136933962
10007025,230000,230R30,ME,2017/12/1,160,1PD010270001,40.4,2015/2/28 08:00,C0,59,23,53,108,91,1827,91,C5,0,5,25600,0.87453125,0.87453125,1486.8,1681.333333,0.134543269
10007025,230000,230R30,ME,2017/12/1,160,1PD025550001,3,2016/4/30 08:00,C0,88,31,60,154,90,1826,92,C5,0,5,16048,0.87453125,0.87453125,31631.33306,1630.933333,0.134543269
10007025,230000,230R30,ME,2017/12/1,160,1PD027220001,23.2,2016/4/30 08:00,C0,21,61,92,61,45,1841,90,C5,0,5,14440,0.87453125,0.87453125,9071.4,1577.333333,0.134543269
10007025,230000,230R30,ME,2017/12/1,160,91.13Y55.001,16.3,2009/3/31 08:00,C0,36,122,91,68,51,1842,92,,0,5,76888,0.87453125,0.87453125,91.9,3122.933333,0.134543269
10007025,230000,230R30,ME,2018/2/1,112,1PD025550001,46.9,2016/4/30 08:00,C0,88,31,60,154,90,1826,92,C5,0,7,17536,1.022098214,1.022098214,31631.33306,1630.933333,0.181706349
10007025,230000,230R30,ME,2018/2/1,112,1PD027220001,6.2,2016/4/30 08:00,C0,21,61,92,61,45,1841,90,C5,0,7,15928,1.022098214,1.022098214,9071.4,1577.333333,0.181706349
10007025,230000,230R30,ME,2018/2/1,112,91.10P55.001,4.2,2018/1/1 08:00,C5,0,0,0,0,0,729,91,C5,0,4,760,1.022098214,1.022098214,720.5,754.9333333,0.181706349
10007025,230000,230R30,ME,2018/2/1,112,91.13Y55.001,5,2009/3/31 08:00,C0,36,122,91,68,51,1842,92,,0,7,78376,1.022098214,1.022098214,91.9,3122.933333,0.181706349
10007025,230000,230R30,ME,2018/2/1,112,91.18H55.001,54.9,2008/5/30 08:00,C0,95,154,151,106,59,2848,92,,0,7,87112,1.022098214,1.022098214,1957.1,3291.733333,0.181706349
10007025,230000,230R30,ME,2018/3/1,160,1PD010270001,2.5,2015/2/28 08:00,C0,59,23,53,108,91,1827,91,C5,0,8,27760,0.97140625,0.97140625,1486.8,1681.333333,0.161901042
10007025,230000,230R30,ME,2018/3/1,160,1PD025550001,136.5,2016/4/30 08:00,C0,88,31,60,154,90,1826,92,C5,0,8,18208,0.97140625,0.97140625,31631.33306,1630.933333,0.161901042
10007025,230000,230R30,ME,2018/4/1,168,91.10P55.001,11.5,2018/1/1 08:00,C5,0,0,0,0,0,729,91,C5,0,6,2176,0.9703125,0.9703125,720.5,754.9333333,0.152205882
10007025,230000,230R30,ME,2018/4/1,168,91.13Y55.001,3,2009/3/31 08:00,C0,36,122,91,68,51,1842,92,,0,9,79792,0.9703125,0.9703125,91.9,3122.933333,0.152205882
10007025,230000,230R30,ME,2018/4/1,168,91.18H55.001,47.5,2008/5/30 08:00,C0,95,154,151,106,59,2848,92,,0,9,88528,0.9703125,0.9703125,1957.1,3291.733333,0.152205882
10007025,230000,230R30,ME,2018/5/1,160,1PD010270001,6.2,2015/2/28 08:00,C0,59,23,53,108,91,1827,91,C5,0,10,29224,0.910555556,0.910555556,1486.8,1681.333333,0.167244898
10007025,230000,230R30,ME,2018/5/1,160,1PD025550001,33.1,2016/4/30 08:00,C0,88,31,60,154,90,1826,92,C5,0,10,19672,0.910555556,0.910555556,31631.33306,1630.933333,0.167244898
10007025,230000,230R30,ME,2018/6/1,152,91.18H55.001,33.7,2008/5/30 08:00,C0,95,154,151,106,59,2848,92,,0,11,89992,1.065716374,1.065716374,1957.1,3291.733333,0.19982182
10007025,230000,230R30,ME,2018/6/1,152,91.18R55.001,9.5,2013/4/5 08:00,C0,3,15,62,95,129,1768,90,C5,0,11,45280,1.065716374,1.065716374,4736.581998,2459.733333,0.19982182
10007025,230000,230R30,ME,2018/8/1,160,1PD025550001,117.7,2016/4/30 08:00,C0,88,31,60,154,90,1826,92,C5,0,13,21880,1.10515625,1.10515625,31631.33306,1630.933333,0.215640244
10007025,230000,230R30,ME,2018/8/1,160,1PD027220001,101.6,2016/4/30 08:00,C0,21,61,92,61,45,1841,90,C5,0,13,20272,1.10515625,1.10515625,9071.4,1577.333333,0.215640244
10007025,230000,230R30,ME,2018/8/1,160,91.18H55.001,11.4,2008/5/30 08:00,C0,95,154,151,106,59,2848,92,,0,13,91456,1.10515625,1.10515625,1957.1,3291.733333,0.215640244
10007025,230000,230R30,ME,2018/9/1,152,1PD01R550001,9,2015/10/14 08:00,C0,44,128,126,94,57,1946,92,C5,0,14,26344,1.120760234,1.120760234,9986.133059,1754.933333,0.220912654
10007025,230000,230R30,ME,2018/9/1,152,1PD025550001,138.5,2016/4/30 08:00,C0,88,31,60,154,90,1826,92,C5,0,14,22624,1.120760234,1.120760234,31631.33306,1630.933333,0.220912654
10007025,230000,230R30,ME,2018/9/1,152,1PD027220001,62.1,2016/4/30 08:00,C0,21,61,92,61,45,1841,90,C5,0,14,21016,1.120760234,1.120760234,9071.4,1577.333333,0.220912654
10007025,230000,230R30,ME,2018/9/1,152,91.18H55.001,6,2008/5/30 08:00,C0,95,154,151,106,59,2848,92,,0,14,92200,1.120760234,1.120760234,1957.1,3291.733333,0.220912654
10007025,230000,230R30,ME,2018/11/1,160,1PD01R550001,4.5,2015/10/14 08:00,C0,44,128,126,94,57,1946,92,C5,0,16,27808,1.067569444,1.067569444,9986.133059,1754.933333,0.257367788
10007025,230000,230R30,ME,2018/11/1,160,1PD025550001,88.7,2016/4/30 08:00,C0,88,31,60,154,90,1826,92,C5,0,16,24088,1.067569444,1.067569444,31631.33306,1630.933333,0.257367788
10007025,230000,230R30,ME,2018/11/1,160,1PD027220001,28.7,2016/4/30 08:00,C0,21,61,92,61,45,1841,90,C5,0,16,22480,1.067569444,1.067569444,9071.4,1577.333333,0.257367788
10007025,230000,230R30,ME,2018/11/1,160,91.16K55.001,3,2012/2/29 08:00,C0,30,154,89,61,39,2885,90,C5,0,15,59224,1.067569444,1.067569444,317.8,2654.933333,0.257367788
10007025,230000,230R30,ME,2018/11/1,160,91.18H55.001,36.7,2008/5/30 08:00,C0,95,154,151,106,59,2848,92,,0,16,93664,1.067569444,1.067569444,1957.1,3291.733333,0.257367788
10007025,230000,230R30,ME,2018/12/1,184,1PD025550001,124,2016/4/30 08:00,C0,88,31,60,154,90,1826,92,C5,0,17,24808,1.062862319,1.062862319,31631.33306,1630.933333,0.275299468
10007025,230000,230R30,ME,2018/12/1,184,1PD027220001,26.5,2016/4/30 08:00,C0,21,61,92,61,45,1841,90,C5,0,17,23200,1.062862319,1.062862319,9071.4,1577.333333,0.275299468
10007025,230000,230R30,ME,2019/1/1,160,1PD039550001,2,2018/1/12 08:00,C0,32,17,112,119,105,1855,91,C5,0,12,9280,1.029236111,1.029236111,45621.2067,1088.533333,0.247181604
10007025,230000,230R30,ME,2019/1/1,160,91.13Y55.001,4.2,2009/3/31 08:00,C0,36,122,91,68,51,1842,92,,0,18,86392,1.029236111,1.029236111,91.9,3122.933333,0.247181604
10007025,230000,230R30,ME,2019/1/1,160,91.18H55.001,16.5,2008/5/30 08:00,C0,95,154,151,106,59,2848,92,,0,18,95128,1.029236111,1.029236111,1957.1,3291.733333,0.247181604
10007025,230000,230R30,ME,2019/1/1,160,91.18R55.001,14,2013/4/5 08:00,C0,3,15,62,95,129,1768,90,C6,0,18,50416,1.029236111,1.029236111,4736.581998,2459.733333,0.247181604
10007025,230000,230R30,ME,2019/1/1,160,91.18V22.001,2.5,2013/6/27 08:00,C0,27,97,85,90,82,4032,92,C5,0,18,49000,1.029236111,1.029236111,4890.1,2412.533333,0.247181604
10007025,230000,230R30,ME,2019/2/1,104,1PD010270001,21,2015/2/28 08:00,C0,59,23,53,108,91,1827,91,C5,0,19,35848,1.087820513,1.087820513,1486.8,1681.333333,0.267233728
10007025,230000,230R30,ME,2019/2/1,104,91.18R55.001,2,2013/4/5 08:00,C0,3,15,62,95,129,1768,90,C6,0,19,51160,1.087820513,1.087820513,4736.581998,2459.733333,0.267233728
10007025,230000,230R30,ME,2019/4/1,176,1PD027220001,3,2016/4/30 08:00,C0,21,61,92,61,45,1841,90,C5,0,21,26104,0.85826049,0.85826049,9071.4,1577.333333,0.174334162
10007025,230000,230R30,ME,2019/4/1,176,1PD038550001,23.9,2018/2/1 08:00,C0,17,28,116,86,72,1492,90,C5,0,15,10600,0.85826049,0.85826049,51227.84787,1060.533333,0.174334162
10007025,230000,230R30,ME,2019/4/1,176,1PD039550001,3,2018/1/12 08:00,C0,32,17,112,119,105,1855,91,C5,0,15,11440,0.85826049,0.85826049,45621.2067,1088.533333,0.174334162
10007025,230000,230R30,ME,2019/4/1,176,91.18H55.001,11.5,2008/5/30 08:00,C0,95,154,151,106,59,2848,92,,0,21,97288,0.85826049,0.85826049,1957.1,3291.733333,0.174334162
10007025,230000,230R30,ME,2019/4/1,176,91.18R55.001,3,2013/4/5 08:00,C0,3,15,62,95,129,1768,90,,0,21,52576,0.85826049,0.85826049,4736.581998,2459.733333,0.174334162
10007025,230000,230R30,ME,2019/4/1,176,91.18V22.001,74.4,2013/6/27 08:00,C0,27,97,85,90,82,4032,92,C5,0,21,51160,0.85826049,0.85826049,4890.1,2412.533333,0.174334162
10007025,230000,230R30,ME,2019/5/1,160,1PD010270001,18,2015/2/28 08:00,C0,59,23,53,108,91,1827,91,C5,0,22,37984,0.839519231,0.839519231,1486.8,1681.333333,0.173234127
10007025,230000,230R30,ME,2019/6/1,152,1PD010270001,11,2015/2/28 08:00,C0,59,23,53,108,91,1827,91,C5,0,23,38728,0.896820175,0.896820175,1486.8,1681.333333,0.176423641
10007025,230000,230R30,ME,2019/6/1,152,1PD021270001,13,2016/1/18 08:00,C0,19,91,63,10,18,2326,91,C5,0,22,29992,0.896820175,0.896820175,142.6586895,1658.133333,0.176423641
